"2 readings,"
"2 readings,"
"2 readings,"
"2 readings,"
"5 sleep, 6 use phone,"
"4 readings,"
"4 readings,"
"4 readings,"
"4 readings,"
"4 readings,"
"4 readings,"
"4 readings, 1 writing,"
"4 readings, 1 writing,"
"3 readings, 2 writings,"
"3 readings, 1 writing,"
"3 readings, 1 writing,"
"3 readings, 1 writing,"
"2 readings, 1 writing,"
"2 readings, 1 writing,"
"2 readings, 1 writing,"
"3 readings, 2 writings,"
"3 readings, 1 writing,"
"3 readings, 2 writings,"
"4 readings, 2 writings,"
"4 readings, 2 writings,"
"3 readings, 1 writing,"
"3 readings, 1 writing,"
"3 readings, 1 writing,"
"3 readings, 1 writing,"
"3 readings, 1 writing,"
"3 readings, 1 writing,"
"3 readings, 1 writing,"
"2 readings, 1 writing,"
"2 readings, 1 writing,"
"2 readings, 1 writing,"
"2 readings, 1 writing,"
"2 readings, 1 writing,"
"1 reading, 1 writing,"
"1 reading, 1 writing,"
"2 readings, 1 writing,"
"2 readings, 1 writing,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"3 readings,"
"3 readings,"
"3 readings, 1 writing,"
"2 readings, 2 writings,"
"1 reading, 2 writings,"
"1 reading, 2 writings,"
"1 reading, 2 writings,"
"2 readings, 2 writings,"
"1 reading, 2 writings,"
"1 reading, 2 writings,"
"2 readings, 2 writings,"
"2 readings, 2 writings,"
"2 readings, 2 writings,"
"3 readings, 2 writings,"
"3 readings, 2 writings,"
"1 reading, 2 writings,"
"2 writings,"
"2 writings,"
"1 writing,"
"1 writing,"
"1 writing,"
"1 writing,"
"1 writing,"
"1 writing,"
"1 writing,"
"1 writing,"
"1 writing,"
"1 writing,"
"1 writing,"
"1 reading,"
"2 readings,"
"1 reading,"
"1 reading, 1 writing,"
"1 reading, 1 writing,"
"1 reading, 1 writing,"
"3 readings, 1 writing,"
"3 readings, 1 writing,"
"4 readings, 1 writing,"
"4 readings, 1 writing,"
"4 readings, 1 writing,"
"4 readings, 1 writing,"
"3 readings, 1 writing,"
"4 readings,"
"4 readings,"
"4 readings,"
"3 readings, 1 writing,"
"3 readings,"
"1 reading, 1 writing,"
"1 reading, 1 writing,"
"1 reading, 1 writing,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"2 readings,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 reading,"
"3 readings,"
"3 readings,"
"1 reading,"
"1 reading,"
"1 reading,"
"1 writing,"
"1 reading, 1 writing,"
"1 reading, 1 writing,"
"1 writing,"
"1 writing,"
"1 writing,"
"1 reading, 1 writing,"
"1 reading, 1 writing,"
"1 reading, 1 writing,"
"1 writing,"
"1 writing,"
"1 writing,"
"1 reading, 1 writing,"
"2 readings, 1 writing,"
"2 readings, 1 writing,"
"1 reading, 1 writing,"
"1 reading, 1 writing,"
"1 reading, 1 writing,"
"3 readings, 1 writing,"
"2 readings, 1 writing,"
"2 readings, 1 writing,"
"2 readings, 1 writing,"
"2 readings, 1 writing,"
"4 readings, 1 writing,"
"4 readings, 1 writing,"
"4 readings,"
"4 readings,"
"4 readings,"
"5 readings,"
"5 readings,"
"5 readings,"
"5 readings,"
"5 readings,"
"5 readings,"
"5 readings,"
"3 readings,"
"3 readings,"
"2 readings,"
"2 readings,"
"2 readings,"
"2 readings,"
"2 readings,"
"2 readings,"
"3 readings,"
"3 readings, 1 writing,"
"2 readings, 2 writings,"
"3 readings, 2 writings,"
"3 readings, 2 writings,"
"4 readings, 2 writings,"
"2 readings, 2 writings,"
"3 readings, 2 writings,"
"3 readings, 2 writings,"
"3 readings, 2 writings,"
"2 readings, 1 writing,"
"2 readings, 2 writings,"
"2 readings, 2 writings,"
"1 reading, 3 writings,"
"1 reading, 2 writings,"
"1 reading, 2 writings,"
"1 reading, 1 writing,"
"1 reading,"
"1 reading,"
"1 reading, 1 writing,"
"2 readings, 1 writing,"
"1 reading, 1 writing,"
"1 reading, 2 writings,"
"1 reading, 1 writing,"
"1 reading, 1 writing,"
"1 reading, 1 writing,"
"1 reading, 1 writing,"
"1 writing,"
"1 reading, 1 writing,"
"2 readings, 1 writing,"
"1 reading, 1 writing,"
"1 reading, 1 writing,"
"1 reading,"
